"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10","sample11","sample12","sample13","sample14","sample15","sample16","sample17","sample18","sample19","sample20","sample21","sample22","sample23","sample24","sample25","sample26","sample27","sample28","sample29","sample30","sample31","sample32","sample33","sample34","sample35","sample36","sample37","sample38","sample39","sample40","sample41","sample42","sample43","sample44","sample45","sample46","sample47","sample48","sample49","sample50","sample51","sample52","sample53","sample54","sample55","sample56","sample57"
"0610007P14Rik",5,1,0,1,164.08,2,120.94937,309.0418,0,82.64478,36,1,12.8497,3.91398,1.75252,2.861179,0,27.58035,1.81922,2,0,0,0,25.77955,420.4582,0,3,285.1652,1183.8612,0,17,69.9893,946.8097,587.4972,8.94803,1,1219.5126,16,0,80.75327,480.0584,0,377.4679,426.5583,2,2,39.9055,75.86917,274.1099,233.73795,63.9295,5.92846,163.63676,368.35759,56,0,97.9652
"0610009B22Rik",0,0,66,108,0,0,55,1,158,1,1,0,5.01598,2,1,0,0,41,2,0,1,0,1,17,1,24,27,1,1,24,296,0,2,116.741,4,168.959,0,1,75.9142,2,0,0,188,153,0,3,7,100.955,169,102,62,0,190.981,97,1015.99,56,7
"0610009L18Rik",35,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,73,0,0,0,0,0,0,1,0,0,0,0,77,0,6
"0610009O20Rik",3,0,0,103,0,1,9,3,104,4,61,1,0,34,0,0,1,68,0,0,7,0,0,6,44,0,0,0,0,1,34,143,0,3,0,0,0,2,46,59,1,1,146,15,1,44,0,2,13,139,43,0,29,57,0,0,27
"0610010F05Rik",0,0,0,7,9,0,43.99995,37,0.701658,60,14,3,33,0,4.0000044,0,0,109.00003,0,0,1,4.0000033,0,15,1.99999603,1,1.99999578,294.000139,1,0,1.999999,3,413.00000366501,171.999476,0,0,1,1,30,8,268,2,3.19923,0,7,0,4,0.99999992,34.999993,3,68.000027,11,1,197.999682,3.999997,1,2
"0610010K14Rik",2,0,1,94.99996,0,98.7225,69.652629,112.62822,0,0,0,2,4.0000000117079,45,0,0,152,146.33227,2,0,1,1,220.22683,153.00027,118.7169,46.53993,0,225,3,0,427.0005,0,190.519,227.2868,0,267.77036,209.9999,0,40.21390307029,234.1328,3,21.00004,2.14823,112,0,0,0,2.0000000615469,13.47209,1.29059,23.510487572,0,90.9999,67.2974,433.2433,0.516311,66.4629
"0610030E20Rik",0,0,0.570775,0,4.61629,0,8.80619,0,1.09976,0,0,1.73621,0,0,0,1.03713,0,0,7.9727,0,0,0.707556,0,0,0,0,0,1.06793,0.597908,132.65,0,0,3.02837,0.588767,43.2932,1.16878,0,0,0,0.583321,0,0,5.17408,0,0,0.531585,1.79916,0,13.695,0,0,0.623981,59.8791,17.2569,0,0,0
"0610037L13Rik",1,2.873168,686,21.42857,0,1,140.0752,111.19636,1,1,2,2,0,173.686,155,0,0,33,0,2.09709627,0,1,0,4.26018,174.47,0,0,245.945,1,2,7.78716,0.870214,143.287,236.60746,6.828,2,53.37566,2,59.0589,14.58173,3,0,29.60156,0,332.15772,0.870529,4.49516,206.1,45.63154,0.469146,12.8697,0,26.8442,12.78135,0,559.976386,14.5403
"0610040J01Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1110002E22Rik",11,0,0,14,0,0,2,0,0,0,0,1,0,2,0,0,0,122,0,1,18,0,0,1,0,0,0,21,0,1,0,1,1,1,1,0,258,4,249,146,0,0,628,0,0,1,0,2,0,0,0,0,0,7,61,15,0
"1110004E09Rik",54.999973,0,1,30.3615,46.97519,0,0,66.5608,1,0,0,0,0,6,0,0,1,118,0,0,0,0,0,37.8488,0,0,0,124,2,0,207.47967,0,2,7,0,0,0,0,0.12668,0,0,0,0,0,224.9996,0,0,172.0469,7.32532,171.232,14.7485,2,2,70,0,0,4
"1110004F10Rik",0,0,5,201.6611,329.9996,21.2016,239,236.0005,529,0,0,7.999998,2112.08,322.99953567,4,0,20,425.0005,3,1,1,0,2,320.0001,225,1.62883,2,28,3,1,1269,5,32.02767,358,724.0002,0,8.47806,3,224.0004338,351,7,0,378,294.0003,1,171.9997,2.999998,31.99995,294.0000017472,196,11.1188,0,377.9996,233,44.99999,82,413
"1110008F13Rik",0,3,0,64.905,5.42094,5,67,47,105.338,0,0.4418,0,0,5.59523,1,0,1,192,2.69757,0,420,4,55,63,148,0,38.3295,0,2,278,6,0,81,66,19,124,7,2,103.958,27,3581,1.82631,128,226.967,74,0,5,15.0338,0,8,57,0,16,39.3724,674.621,10.6016,10
"1110008L16Rik",18.3448,0,0,0,0,0,0,6,899,1,1.999998,0,0,46.6034,0,0,1,0,1,0,0,0,0,3,0,0,0,0,0,50.5088,1,0,118,49,0,0,20.99997,0,0,4.79741,3,1,0,1,0,63.8799,0,18,0,1.999995,8,0,397.789,1,240,1.999999,16
"1110008P14Rik",0,0,0,2,10,1.00187,7,2,158,7.01905,0,1,0,5.01881,0,1,1,1.44787,0,23.4844,3.13444,16.11713,1.13157,70.41608,0,1,1,2.43507,5.77354,0,3,0,0,8,0,0,0,0,63,0,107.805,0.0337955,42,0,14.2656,23,0,61.00434,0,54.22473,7,43.10686,155.00204,13.00768,1.00098,2.71965,24
"1110012L19Rik",0,1,0,1,198,0,0,11,5,1,1,2,980,1,0,0,4,0,2,1696,3,1,0,42,25,0,0,0,2,0,4,2,0,106,33,0,0,1,137,263,0,0,0,0,1,0,0,0,0,0,8,0,0,2,16,0,0
"1110017D15Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1110025L11Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1110032A03Rik",116.8329,0,0,11.3348,1.01949,0,55.4539,0,0,0,0,0,0,0,0,0,0,0,0,2.70393,0,0,3.43376,80.34196,0,0,0,74.74699,0,1.58515,0,0,0,0,0,0,2.0659,1.02148,57.9999,0,1.30962,0,0,0,1,0,0,0,118.65356,0,3,0,0,3.04396,16,0,4.33944
"1110032F04Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,237,0,0,0,0,0,0,0,0,0,0,0,0,0
"1110034G24Rik",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,274,1,0,0,0,6,0,0,0,0,0,0,0,0,0,213,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"1110037F02Rik",479.9999,0,1.99999782839,133,2,0,46,0,1.9999977965,1,0,2.000002342,1,55,0.9999999779,0,532.9996,135,3,0.9999995941,1.999999826,93,5.0000011125,6,234.00000238579,12.9999961729,73.000000126054,4.9999981415,0.9999997604,65,175,47.999986677,1,265.99955511,0.9999996548,1,1,1.9999961875,97.99995944,2,2.0000002561,6.999995412,106.999590992983,27.99996,19.000000917,0,852.99974938,100,376.99988455,5.9999999433,142.99962146,201.00032838,131,489.00033913,2,27,31
"1110038F14Rik",0,0,0,12,4,1,16,8,0,0,0,10,0,0,0,0,161,1,0,0,1,144,19,7,36,0,37,131,1,0,0,5,4,1,21,1,34,0,5,20,0,12,111,44,31,1,0,16,19,81,51,1,93,96,7,82,10
"1110051M20Rik",7,0,0,121,0,0,7.1441,3.298635,0,0,1,0,0,0,0,1,17.65088,0,0,1,21,0,0,519.17594,0,0,32,80,0,0,35.1722,0,0,0,10,1.2724,0,0,4.26898,0,0,1,535.723,51,7,0,8,0,456.074,1,95.3078,1,0,3.68415,0,0,4.56545e-05
"1110057P08Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1110059E24Rik",1,0,0,46.8452,0,0,0,110,351.498,1,0,0,0,0,2.16299,0,327,898.0003,0,1,0,57,1,170.01106,320.01185,136.3822,74.421,114,2.18053,0,1.3411,0,0,351.61982,11.681059,349,0,4,171,212.698,0,1,8.40136,3,0,0,0,407,14,24,419.3767,1,39,28,0,4,20
"1110059G10Rik",0,0,1.08391,2,1.00657,0,0,1,7,0,0,2.000001,0,137.2779,0,0,0,3,0,0,0,0,0,0,18.00002,0,0,0,1,0,521,70,2,1,0,0,0,0,3.16009,10,0,91,119.8618,0,0,2,43.18527,84.43822,0,58,59,1,52.1905,90,1,0,0
"1110065P20Rik",1,0,0,0,3,0,1.915575,0,120.974000010624,0,0,0,0,0,0,145.99989,0,5.566944,0,0,0,0,0,0,2.000002,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.999998,0,0,10,0,1,0,3.357184
"1190002N15Rik",33,161,0,1,0,53,1,36,0,4,0,10,0,0,2,0,492,1,2,14,1,2,0,209,5,0,1,264,163,404,1,1,13,2,5,1,9,0,2,7,166,1,4,1,63,0,251,91,95,0,1,84,12,20,143,199,23
"1190003K10Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1190005I06Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,7.000003,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1190007I07Rik",0,0,0,2,2,0,0,2.000001,85.99998,0,0,0,0,2,0,0,0,0,0,0,1,0,0,3.86242,1,3,0,0,0,1,0,0,0,0,0,0,0,1,0,85,0,0,36.00004,0,1,0,0,5,66.00005,1,3,0,28.3534,0,13,0,0
"1300017J02Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1500009C09Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1500009L16Rik",1,1,0,0,108,0,0,1,41,0,1,0,110,0,0,0,1,0,0,0,0,0,0,0,5,0,0,110,1,1,0,0,0,0,0,684,0,0,0,0,0,1,1,144,0,0,0,1,0,0,4,0,79,69,0,0,9
"1500011B03Rik",0,0,0,72.00004,94,0,60.55036,123,0,0,1,0,0,0,0,0,11,1.00818,0,0,0,2,2,8,1,464,0,0,0,0,0,0,27,4,0,0,0,0,0,2,0,0,1.01739,1,0,65.9052,0,0,3,0,0,0,45.8686,1,0,1,0
"1500011K16Rik",0,0,0,37,39,0,10,2,87,2,0,0,11,7,0,1,0,33,0,0,0,0,0,44,18,0,52,34,856,0,10,1,49,81,7,1,49,1,8,28,1,32,39,42,0,14,0,23,14,27,39,92,57,20,0,1,1
"1500015O10Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1600002H07Rik",0,0,0,47.7544,3.44751,0,0,140.904,22.4531,36.4551,26.8751,0,0,20.4634,0,0,0,21.301,0,0.0571999,0,0,0,0,37.8484,0,0,0,0,7,0,0,3.91347,0,0,0,0,10.5243,1.0961,3.00963,0,1.15106,194.95,2.01802,0,0,0,0,4.30983,0,0,1.02911,5.08534,28.1782,0,0,6.14268
"1600002K03Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,0,0,0,26,0,0,2,1,0,0,0,0,0,1,0,0,0
"1600012H06Rik",0,0,1,85,2.00000208,0,11.99995294,0,365.0002,1,4,0,0,0,2.38819194,0,0,214,54,0,0,0,0,9.15092164,0,0,0,1,0,0,0,0,0,65.0000051,0,2,0,0,30.6769312,22.99999,0,0,2.999999,0,0,0,2,74.8385145,0,0,0,0,0,0,0,0,0
"1600014C10Rik",0,0,0,13.37771,1,0,0,130.9999,0,0,0,0,0,0,1,1,0,468.9999,0,0,0,1,0,332.0003,0,0,2,18,0,0,0,0,0,327.9994,15,0,0,0,0,0,0,2,17,19.99996,0,0,1,1,0,271.9996,0,1,0,11,1,0,0
"1600014C23Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1600015I10Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700001C02Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700001C19Rik",0,0,10.5588,0,0,0,0,0,1.67036,1.34351,0,0,0,0,0,1.16926,1.17775,0,0,1.24907,0,0,0,0,1.08624,0,0,0,0,1.28233,0,0,4,0,0,0,0,2.608,0,2.15546,0,1.07451,0,0,0,0,1.45522,0,0,5.00079,0,0,0,1,1,0,4.50679
"1700001F09Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700001J03Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700001K19Rik",0,0,0,0,0,0,1,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,1,0,0,0,0
"1700001L19Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700001O22Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700001P01Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700003E16Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700003F12Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700003H04Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700006A11Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700006E09Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700007B14Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700007G11Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700007K09Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700007K13Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700008O03Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700008P02Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700009N14Rik",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700010B08Rik",0,0,0,9,0,0,0,0,0,1.80287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700010I14Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700011H14Rik",71,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700011I03Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700011L22Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700011M02Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700012A03Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700012B07Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700012B09Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700012P22Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700013D24Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700013F07Rik",0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700013G24Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700013H16Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700014D04Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700015E13Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700015F17Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700015G11Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700016C15Rik",0,0,0,0,0,0,0,0,0,1,0,47,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700016D06Rik",0,18.7605,39.7004,4.37427,1.04732,14,7.27671,5.12639,3.37995,0,0,8.07218,0,0,0,0,0,5.00775,0,0,0,1.27704,2.50717,6.65036,7.74933,5.14089,13.3349,44.125,0,0,0,4.12222,7.69762,1.68225,3.01543,2.2098,11.7446,3.08269,16.1045,1.00453,1.03326,10.1895,0,1.31035,0,0,9.13373,15.2383,27.2432,19.8723,0,23.9182,1.35879,0,50.8105,0,2.06871
"1700016H13Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700016K19Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700017B05Rik",248,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,50,3,0,0,0,0,0,1,151,0,0
"1700017D01Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700017N19Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700018B08Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700018C11Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700018F24Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700019A02Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,178,3,1,0,0,0
"1700019B03Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700019D03Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,1.000000114525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0000000283227,0,0,0,0
"1700019N19Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700019O17Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700020A23Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700020D05Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700020L24Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
