"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10","sample11","sample12","sample13","sample14","sample15","sample16","sample17","sample18","sample19","sample20","sample21","sample22","sample23","sample24","sample25","sample26","sample27","sample28","sample29","sample30","sample31","sample32","sample33","sample34","sample35","sample36","sample37","sample38","sample39","sample40","sample41","sample42","sample43","sample44","sample45","sample46","sample47","sample48","sample49","sample50","sample51","sample52","sample53","sample54","sample55","sample56","sample57","sample58","sample59"
"0610007P14Rik",31,0,0.82132,0,0,0,0,0,472.7571,0,0,0,38.47636,0,0,0,0,48.16766,39,0,200.9998,0,0,0,0,2,175.5539,5,6.90051,0,0,1,0,122.7341,0,90.00001,0,0,1,0,0,0,1,0,2,0,58.75325,0,1,0,0,0,0,0,0,1,1,0,69.608541
"0610009B22Rik",0,0,0,29,0,0,23,0,0,1,0,0,23,0,1,0,0,1,0,1,0,0,32,0,0,104.876,0,204.804,0,0,1,12,0,272.843,2,62,0,3,0,0,0,1,1,0,0,0,0,0,0,0,0,55,0,0,0,830.423,8,0,0
"0610009L18Rik",0,0,0,0,0,0,1,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0
"0610009O20Rik",0,4,2,0,0,0,15,0,0,2,0,0,8,0,20,32,0,1,2,0,97,0,6,0,0,4,2,14,0,4,0,2,0,65,0,19,0,16,1,0,1,11,466,0,91,14,1,45,0,1,0,1,0,5,0,0,0,1,4
"0610010F05Rik",0,0,9,0,0,0,1,0,0,1.02403,0.130202,33,0,0,5.67382,0,1,1.70162,43,0,0.0813428,0,0,0,0,4.99999772,0,3.00000097,0,0,3.25231,0,1.98998,0,1,0,0,0,92.999954,0,0,0,208.777,0.708839,0,9.96502,0,0,0,0,0,0,0,0,0,0,1,0,0
"0610010K14Rik",1,0,0,2,0,2.000003,273.2455,3,0,0,0,412.980442,0,197.9616,3,0,0,0,17,3,0,1,1,17,319.4407,359,823.6482,0,116,1.45871,2,0,0,3.000000043167,0,462.6645,0,0,2.000000110563,56.00005,136.84528,0,0,0,0,185.63907,0,47.0305,0,0,1,0,2,445.6711,1,718.511,300.00367,0,35.00004
"0610030E20Rik",0,0,0,0.598727,0,78.2036,0,0,0,35.0268,0,0,382.631,0,0,0.538603,0.512345,257.65,0,0,0.618684,0,0,6.13247,16.1452,0,0.510417,0,0.570059,42.6054,10.7947,0,0,9.98314,0.55893,0,0,3.56111,0,0.603712,12.7766,2.60116,9.64862,0,0,0,1.03281,0,0.618488,0,0,0,1.1935,5.6277,0,0,0,0,0
"0610037L13Rik",116,2,170.61874,0,18,1.10266,0,1,0,0,19.68903,139.99986,101.543,1.999998,0,0,0,0,0,191.39925,1,0.874086,0,5,4,0,62.6997,13.76108,756.614275,0.85929,0,179.82164,0,0,0,1,0,41.13822,0,1.999998,13.6884,21.8769,1,0,1,1.29254,32.0843,174.6342,0,0,0.851897,2,2,0,0,6,31.16051,1.81592,643.5212
"0610040J01Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1110002E22Rik",0,1032,0,0,6.22362,0,85,0,0,3,365,1,0,0,0,0,0,2,0,0,0,85,30,32,0,1,1,0,0,0,0,1,0,1,1,0,0,12,0,0,0,0,2,1,56,1,0,1,0,0,0,0,6,1,5,8,0,0,585
"1110004E09Rik",0,56,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,376,0,0.376668,0,198.9999,0,210,0,1,0,0,0,23,9,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9
"1110004F10Rik",3,12,2,61.4319,0,28.99999,386.00020417051,1,1,0,2,10,13,1,1,0.457265,1,17,7,1120.435,1,1,11,1,161,5,557.6685,0,279.9998,0,0,0,21,759.0001,753.0005,2,0.422446,9,1,0,69,175.0003,28,10,2,3,39,662.77486,3,155,93.2371,171,2,759.00045,39,1,506,0,66
"1110008F13Rik",1.82473,12,15,2,0,0,1,0,0,1,45,1,15,0,1.8414,1,1,0,1,1,0,1,0,111,174,196,8,61,0,33,6,26,7,0.565371,0,0,6.51159,114,2,1,2,0,1.81372,1.82775,9,0,46,0,1,0,249,100,1,0,0,0,15,0,6.88161
"1110008L16Rik",0,0,0,0,0,0,0,0,0,0,0,35.99999,0,0,0,0,0,1,0,0,0,0,86,0,30,0,0,12,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,796,0,2,0,0,9,1,3
"1110008P14Rik",0,594.03697,1.14235,0,0,0,35.00656,1,6,1,19.6299,1.0120544,0,2.38224,43.0302,2.06138,0,2,0,102.66,39,144.806,0,44,0,0,0,14,13,1,0,1.00063,0,9.0312,0,1.03696,0,1.00151,53,0,0,3.0077,0,0,0,14.0144,45,1.0026,0.00170231,12.196,0,1,0,0,0.0700216,0,13.9465,0,83.84651
"1110012L19Rik",0,0,0,0,0,23,142,0,0,0,0,274,0,0,1,0,0,0,30,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,292,0,0,0,0,0,0,41,0,0,0,0,0
"1110017D15Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1110025L11Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1110032A03Rik",0,24.84484,0,0,0,0,0,0,11,1.0211,0,8,0,0,0,0,0,0,0,0,0,0,0,0,27.2778,0,0,45.8921,0,0,0,0,0,0,0,0,0,0,0,0,0,3.02823,0,0,0,4.02368,0,0,0,0,0,0,0,6.46482,0,0,0,0,153.07461
"1110032F04Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,0
"1110034G24Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,336,1,0,0,0,0,5,0,0,0,0,0,0,13,0,0,0,0,0,0,0,1,56.5346,0,1,0,0,0,0,0,0,0,0,0,359
"1110037F02Rik",0,1.0000002349,31,594.99958,20.999982599,0,1,0.9999998003,473.9998178,1,0,27,177.9998,0,0,0,1.9999972845,0.9999996285,0.9999995621,2709.99988858,267.9997149208,0,2.999996542,38.00000083,213.0004,28.00003,0,477.99986568,90,4.000003923,1.000000471,33.000007805,0,0,0,2.9999954696,0,3.9999951723,0.9999997423,0,0,197.00037955,0,1.9999951912,0,9.000002557,0,0,0,705,0,1,2.000004351,1,1,1,3.000000482,2.0000047931,161
"1110038F14Rik",0,0,14,1,0,0,11,0,0,0,0,4,15,60,1,1,0,0,0,53,22,1,0,0,30,0,0,13,0,75,2,77,0,47,0,1,0,120,0,0,0,11,0,3,0,0,0,119,0,0,5,0,0,7,0,0,10,0,5
"1110051M20Rik",0,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1131.178,0,0,0,0,0,0,0,0,0,9.35826,0,0,0,0,0,0,0,0,0,0,71.8738,85.8909,0,1.06845,8,0,0,0,1,0,0,1.474612182,0,0,0,0,0,1,66
"1110057P08Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1110059E24Rik",2,0,1,0,0,3,0,0,0,0,0,0,0,0,0,1,1,0,0,12.6739,0,0,0,0,638,0,52.3464,0,0,49.23222,0,0,0,0,1,0,0,6,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,44.3588,0,0,10,0,0
"1110059G10Rik",0,0,1,1053,1,9,2,0,0,0,1,11,0,0,0,1,0,0,0,6,105,16,0,0,0,0,0,338,0,0,1,0,1,3.029744,0,104.0193,0,26,0,0,9.01608,10,1,0,0,0,0,0,0,0,0,6,1,0,0,0,2.015087,0,0
"1110065P20Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10.000003,0,0,0,2,0,0,0,0,0,0,0,0,0,1.999998,0,0,0,0,30.00004,0,0,2.000001,0,0,0,0,0,0,0,0,0,0,0
"1190002N15Rik",0,36,0,3,1,7,23,0,0,0,0,90,0,0,17,87,0,0,0,0,344,0,28,0,7,1,4,41,1,0,0,0,0,4,0,0,0,0,18,0,145,30,0,0,0,30,1,0,0,1,0,1,0,0,0,120,0,0,0
"1190003K10Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1190005I06Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1190007I07Rik",0,19.37692,2.1573,0,0,1,7,0,0,0,3,1,4,0,1,0,0,0,1,0,1,8,0,0,1,0,0.809821,0,0,1,0,0,1,0,0,140,0,8,0,0,0,1,0,0,0,1.21737,0,0,0,0,10,0,0,1.25998,32,7,2.54864,0,2
"1300017J02Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1500009C09Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"1500009L16Rik",1,0,0,0,1,622,0,0,0,0,1,0,0,3,0,0,1,0,0,0,0,0,0,2,359,41,0,23,0,1,0,41.7283,0,41,0,0,13,0,0,0,560,0,0,0,0,17,1,0,0,0,159,0,0,0,1,0,0,0,0
"1500011B03Rik",0,92,0,0,1,43.8326,0,0,0,0,0,0,0,0,22,0,0,29,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,2,0,0,0,0,0,1.02054,0,0,1,0,0,0,0,0,0,0,0,1
"1500011K16Rik",0,0,0,15,0,0,1,0,2,0,1,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,23,12,0,0,0,483,0,0,0,0,1,0,0,0,0,0,0,0,65,1,0,0,1,0,15,0,0,1,99,4,73,5
"1500015O10Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,299,0,18,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"1600002H07Rik",0,0,1.00757,0,0,0,13.4477,0,26.9211,35.1687,0,0,0,0,10.3752,8.5352,1.21178,6.6013,1.08419,0,1.13343,0,0,0,0,6.19254,0,0,2.00935,9.24172,2.01248,0,0,0,0,0,0,0,0,2.41024,40.8053,9.30821,0,1.02343,0,0,1.03645,20.2047,0,2.06896,2.20219,0,0,0,0,0,1.20258,0,1.01627
"1600002K03Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,71,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1600012H06Rik",0,1,0,12.00000277,0,11,23.9999756,0.999999635,0,1,0,115.419,0,0,0.999999834,0,0.999999701,1,0,0,0,1,0,0,672.97272042,240.9996214,17.00003,410.3287015,15.0000039,295.90000385345,51,1.00000026,5.10102832,377.744000376605,0,0,0,1,0,1,0,98.9999699,0,0,0,0,0,1623,1,1.185667775,0,2,1.000000047,2,0,0,1.173961268,4.00000188,0
"1600014C10Rik",1,1,0,5,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,336.99994,0,1,1,31,713.9995,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,19,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0
"1600014C23Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1600015I10Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700001C02Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700001C19Rik",0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,2,1.63525,0,0,1.58562,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1.09286,0,0,0,0,0,0,0,1.01682,0,4.00042,0,0,4.01662,0,1.00006,1,0,0,0,1.22475
"1700001F09Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700001J03Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700001K19Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,0,0,0,0,0,0,32,0,0
"1700001L19Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700001O22Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700001P01Rik",0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"1700003E16Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700003F12Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700003H04Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700006A11Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700006E09Rik",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700007B14Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700007G11Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700007K09Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700007K13Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700008O03Rik",0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700008P02Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700009N14Rik",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"1700010B08Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.36907,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"1700010I14Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700011H14Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700011I03Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700011L22Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700011M02Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700012A03Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700012B07Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700012B09Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700012P22Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700013D24Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700013F07Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"1700013G24Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700013H16Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700014D04Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700015E13Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700015F17Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700015G11Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700016C15Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700016D06Rik",4.04494,9.82904,0,0,0,39.8105,0,0,0,3.94416,0,1.00306,9.05039,1.00876,0,2.57865,1.05343,28.2458,2.13706,24.4999,1.5503,1.00154,6.00561,0,9.42932,1.01174,46.5869,2.01949,0,11.579,0,6.00763,0,14.8525,18.7969,25.205,0,6.07237,0,2.02359,3.85004,14.3321,0,2.12353,0,28.9746,0,18.1773,13.2032,14.8237,22.1445,2.01079,2.00404,4.00508,2.00526,0,40.3722,0,4.17993
"1700016H13Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700016K19Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700017B05Rik",58,0,14,0,0,271,0,0,1,1,0,915,0,2,1,0,1,0,2,1,0,2,0,0,1,0,24,0,10,0,0,0,1,26,0,48,0,0,0,0,0,0,0,0,0,56,0,1,0,0,1163,1,0,0,0,0,0,3,0
"1700017D01Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700017N19Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700018B08Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700018C11Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700018F24Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700019A02Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700019B03Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700019D03Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0000000420407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700019N19Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700019O17Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700020A23Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700020D05Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
