"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10","sample11","sample12","sample13","sample14","sample15","sample16","sample17","sample18","sample19","sample20","sample21","sample22","sample23","sample24","sample25","sample26","sample27","sample28","sample29","sample30","sample31","sample32","sample33","sample34","sample35","sample36","sample37","sample38","sample39","sample40","sample41","sample42","sample43","sample44","sample45","sample46","sample47"
"0610007P14Rik",322.0361,72.94568,874,1.36915,4,10.9693,197.7696,58,1.36389,1,0,119.93,88.7388,1055.8107,328.0557,2,0,0,0,0,109.93725,219.6596,6.95696,4.79635,0,5.61878,2.19835,1,160.9185,0,24,37.90039,16,10,1.259422,40,2,207.96909,4.29857,3,4,2,868.9188,23.69025,0,109.62035,0
"0610009B22Rik",126.04,241,0,0,1,1,0,0,1,0,1,185.98,0,790.301,40,4,0,0,113.854,126.691,0,61,0,0,0,1,1,80.2079,0,75.8237,2,2,1,0,27.234,0,166,82,88.8418,0,0,4,0,55,4,91.9386,351.991
"0610009L18Rik",0,0,0,0,0,0,0,11,0,0,0,3,0,0,0,0,0,0,0,0,0,33,0,9,36,0,0,0,0,0,0,0,15,0,0,3,0,0,0,0,0,0,0,0,21,0,0
"0610009O20Rik",413,1,0,18,4,0,2,87,1,39,0,26,0,39,85,1,39,24,4,4,0,6,68,53,287,33,2,0,26,8,8,51,6,32,22,1,225,151,46,3,26,110,4,56,0,45,16
"0610010F05Rik",82.99999,0,218.955,0,0,1,1,1,69.03891,194.9999557,0,1,60,36,307.99998,3,41.9999336,0,7.0000003,0,0,49.000038,0,0,40,39,0,0,0,273,1,0,0,4.000008,0,0,0,21.0000321,0,0,6,6.378446,8.99999966,1,5,20,4.999996
"0610010K14Rik",681.82508,0,316.14900551,212.755,0,3,383.8848,98,0,1,106,258.9998,38,273.00029,435.9996,84.8099,0,52,0,314.0407,295.7473,131.097464499,0,0,51,192,0,43.3555,121.785,124.1996,2,474.6726,2,0,2,103.513,18.66,85.08698,774.000260232095,4,17,84,273.99981,62.00000604,45.23599,495.98515,267.00022
"0610030E20Rik",34.3092,0,0.581995,0,0,0.613135,0,7.08924,0.560143,0.582549,0,2.80033,0.51824,0,1.11932,0,0,20.8194,0,0.589593,126.822,1.75777,9.22917,68.485,0,1.14199,0,0.564709,1.57829,0,1.064,0,7.01183,0,0,26.4567,120.334,6.10495,29.7197,0,0,2.10582,0,0,1.22612,0,364.803
"0610037L13Rik",20.85035,4,1272.69663,1,29.56363,0.308705,7.399947,16.86632,266.90508,2.7139,21,97.3686,760.11168,10.21279,47.72676,132.99996,3423.86562,70,1.16792,25.5744,0,88.58991,3,85.01432,135.929,34.7587,1,38.90652,147.07869,5.08657,1.3837,2.56339,3.30544,2.87091,8.12212,0,96,50.52678,114.5589,504.1379,1.868673,4.374214,126.975,124.208,35.8649,398.4554,695.10699
"0610040J01Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1110002E22Rik",0,8,0,702,4,0,1,1,0,1,0,0,0,0,2,0,0,0,29,0,3.1019,0,100,12,61,684,25,0,21,347,1,178,2,2,2,0,101,28,0,1,6,240,0,100,2,1,735
"1110004E09Rik",17.00004,184,367,0,0,0,301.0005,0,0,0,1,121.013,0,159,44.99998,0,0,91,1,0,6,68.89612,0,49.99996,11,5,0,8,3.95452,0,0,0,0,28,156.161,20,111.3397,160,0,0,0,49,47,74.99368376,0,139,43
"1110004F10Rik",33,0,111.00043,163,163.389,0,1041.1401,9,166,0,29.99998,137,620,357.99954,66,147,5,2.999997,76.9997,173.9996763,153.55,441.0003,2,60,305,87,0,93,86,213,96.99998,8,1,3.47025,60,89,72,995,434,1,201.379,431,0,288.99977,195,565.9995,473.0001
"1110008F13Rik",137,315,33,0,9,1,0,110,0,2,76,0,10,4,260,137.914,2,102.501,215,90,1,32,1,30.8555,174,3,100,336,41,23,527,0,8,429,22,0,78.5478,276,3,0,11,14,31,84,353,1,16
"1110008L16Rik",2.19634,0,345,0,0,0,0,0,4,1,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,1,0,0,0,11,0,0,0,1,0,0,0,0,0,0,74,0,0,3,0,0,0
"1110008P14Rik",0,0,4.00275,5.48289,1,5.00078,81.55494,135,0,10.8705,1,17,248.1983,2,5.00109,0.0415459,11.85176,76,68.00439,190.6927,19.14226,3,1,1,166,17,1.53333,3.13225,14,9.87014,56,2.002613,73.4848,271,33,16.04535,37,26.3157,1,0,279.8965,10,0,179.5687,144,64.02739,1
"1110012L19Rik",0,0,0,1,0,0,73,8,0,1,0,0,2,0,51,0,0,0,0,0,0,0,0,0,0,149,2,454,260,22,0,1,0,1,138,88,242,0,0,107,0,180,0,1,1,0,27
"1110017D15Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1110025L11Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1110032A03Rik",390.48524,159.038,1.00574,0,1.93698,0,1.30564,263.133,0,1.00797,0,0,23.9585,166.3536,0,0,0,0,0,1.02287,221.1982,0,0,0,272.2571,0,0,103.263,0,2.03254,0,1.02501,1.32581,0,1.33321,0,0,0,0,0.589349,3.14293,0,0,253.1213,8.15094,105.5568,0
"1110032F04Rik",0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1110034G24Rik",0,0,0,43,0,0,0,0,0,0,0,0,0,1,174,2,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,328.941,0,0,0,0,0,89.0343,0,0,0,0,0,50,0,0,0
"1110037F02Rik",12,1,0,4,5.999997347,4.9999989466,21.0000210696,3.9999971701,1,10.999999161,212.00040252,481,0,1,36,2.9999949966,30.0000263,1966,13.000046061,2.0000018191,112,46,2.000004321,406.9996419508,89,3.9999976099,25,2,25,5.999996844,4.0000049693,10,24,4.0000032421,224.99969873,12.999980671,6,5,97.000023,978.99986735,3.000001878,3.999999891,86.999994683,39,3.000004719,191,736.000000072024
"1110038F14Rik",234,24,1,3,1,0,42,0,586,0,0,453,0,31,119,59,26,33,8,5,1,49,1,90,0,0,3,92,0,0,0,0,0,1,2,41,0,1,0,0,21,14,0,43,49,248,63
"1110051M20Rik",562.79,0,926.498,0,1,1.9999953,19.1171202621,0,85,4,0,0,0,1550.67393,1,31.33691,0,194.18481,0,0,34,25.8993,75.82,27,0,243.6211,1,0,0,0,0,0,37,2,32,23.00001,9.28263,0,0,0,2,2,1,85.9478,0,1,20.4128
"1110057P08Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1110059E24Rik",28.5346,0,0,2,12,31.0083,195.59892,1,4.35387,0,0,0,0,0,550,57,0,0,41,0,61,0,13,10.7437,3,38,1,0,0,1,368,57.9871,53,6.50087,0,0,211,63.2279,4,10.7481,5,1,1,140,76.0575,1.18603,0
"1110059G10Rik",0,6,1,0,1,0,60.00005,17,53,0,20.99996,187,166,12,0,0,0,305,76,2,24.07632,18.00002,54,10,1,2,26.00001,817,15,1,43.99996,0,0,0,3.000002,19.00003,18,0,3,0,16,4,0,0,51,23.00003,0
"1110065P20Rik",291.0008,2.000004,1,0,30.68108,0,0,26.9392,0,0,0,1,145,0,0,26.95960763546,0,0,0,0,1,1,1,2,1.0000003,5.774946,0,0,0,15.000003,63.268741,6.20231,3.000003,8.999997,0,1,0,0,0,2.08454,0,3.999996,0,0,0,19.99998,38.2725
"1190002N15Rik",9,4,0,62,0,1,0,1,178,1,61,0,1,0,0,8,1,40,3,0,17,0,13,0,421,33,16,0,1,2,0,1,103,0,12,1,162,25,2,1,1,100,0,0,1,0,136
"1190003K10Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1190005I06Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,30.0317,0,0,0,0,0,0,0,0,47,0,0,0,0,0,1,0,0,0,0,0,0,5,55,0,0,0,0,0,0,0,5,0,0
"1190007I07Rik",0,41,0,0,0,0,0,0,177,0,1,1,0,0,22,0,0,0,42.00004,78,0,0,0,40.00002,1,33,0,12,0,7,87.9689,12.9543,0,54,0,23.00003,0,0,0,0,0,4,5.66534,34,116.00044,6,201.9998
"1300017J02Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1500009C09Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"1500009L16Rik",0,2,0,0,0,0,10,0,537,0,47,0,9,0,11,0,0,25,0,0,35,191,0,0,0,10,0,0,0,0,0,0,1,0,1,0,0,317,0,22,1,0,0,0,0,116,0
"1500011B03Rik",2,0,0,0,2,0,0,1.04697,305,0,546,22,0,0,1,201.0003,0,0,0,86,0,0,0,0,0,0,0,69,0,0,1.20197,0,0,0,11,2,0,0,0,0,0,0,0,0,0,3,82
"1500011K16Rik",0,0,39,0,39,0,0,34,0,2,0,2,0,43,14,36,0,0,11,0,28,32,0,80,124,11,1,164,90,17,1,77,32,145,83,12,35,91,160,0,8,1,27,7,18,0,21
"1500015O10Rik",0,0,0,0,0,1,1,0,0,0,2,1,1,1948,1,0,0,0,2,0,147,1,0,0,0,0,0,0,38,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,85,1
"1600002H07Rik",9.06449,0,0,0,0,0,45.9073,0,2.19,0,0,0,0,0,0,10.6637,1.0483,0,3.02125,11.7688,0,4.13492,0,0,1.01852,13.7158,0,0,0,10.9348,25.2328,1.00067,6.45406,1.00057,0,0,2.19586,10.8974,11.0123,0,1.04833,0,0,0,0,423.367,0
"1600002K03Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,25,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,45,0,0,0,0,0
"1600012H06Rik",3,0,0,95.753500330021,1,0,0,0,1,69.00005294,0,13,0,1,236.5314,0,6.00000378,1,0,6.9999988,0,17.00003,0,35.000008111,14.319634317,0.999999628,0,0,0,0,0,2.32468482,0,806.00035711,0,0,49.9116,0,26.99997703,0,1.000000445,0,23.36618559,1,0,260.0003,1
"1600014C10Rik",0,16.000002,0,0,301,0,0,46.00004,1,1,0,0,0,0,0,0,0,0,0,0,442.0002,0,1,203,0,0,0,528.0002,0,1,0,74,0,1,0,0,0,5,0,0,0,0,0,1,2,0,0
"1600014C23Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
"1600015I10Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700001C02Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700001C19Rik",0,5.71379,0,0,0,0,0,1.22203,0,2,0,0,0,0,0,0,0,1.00018,7.40364,0,0,1.07446,0,1.44498,0,2.54489,0,0,0,7.3293,0,0,0,0,0,1.24206,0,0,0,2.44638,0,0,0,0,3.90345,0,0
"1700001F09Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700001J03Rik",0,0,2.19912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700001K19Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700001L19Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0
"1700001O22Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700001P01Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700003E16Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700003F12Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700003H04Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700006A11Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700006E09Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700007B14Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700007G11Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700007K09Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700007K13Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700008O03Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700008P02Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700009N14Rik",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700010B08Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700010I14Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700011H14Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700011I03Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700011L22Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700011M02Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700012A03Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700012B07Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700012B09Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700012P22Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700013D24Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700013F07Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700013G24Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700013H16Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700014D04Rik",0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700015E13Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700015F17Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700015G11Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700016C15Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700016D06Rik",0,12.5719,0,0,3.02664,1.07599,15.4649,3.8715,16.7549,11.1683,33.289,0,6.9245,1.0024,0,12.0446,9.30419,0,20.8849,5.85423,8.01926,2.36506,1.35038,0,5.02867,9.14322,0,7.01337,0,8.46564,7.36945,1.11191,19.2172,0,1.00217,9.49356,13.8239,18.0663,2.14221,6.54397,0,3.6039,0,3.02556,12.7869,25.8748,4.77405
"1700016H13Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700016K19Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700017B05Rik",0,412,2,1,0,0,516,0,753,2,0,0,0,0,0,0,2,1305,215,1,1,1,1,0,0,35,0,0,0,0,0,0,0,1,0,0,0,17,0,0,74,1,0,0,0,2,0
"1700017D01Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700017N19Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700018B08Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700018C11Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700018F24Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700019A02Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700019B03Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700019D03Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700019N19Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700019O17Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700020A23Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700020D05Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700020L24Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700020N01Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700020N15Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700021F05Rik",19.1132,0,0,3,0,2.39745e-07,0,0.0193381,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,80.1427,0,0,0,0,0,0,6.35683,0,0,0,0,0,0,0,0,0,0,0,12.306,0,0.00321779
"1700021F07Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700022I11Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700023F06Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700024B05Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700024G13Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700024P04Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700024P16Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,13,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,13,0
"1700025B11Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700025C18Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700025F22Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700025G04Rik",22.0208,0,0,1.00077,2.78555,1.07549,16.0905,30.0898,2.19566,0,54.0509,278.809,0,26.8385,23.8866,84.506,3.07942,0,10.7016,23.9444,8.50434,168.96,66.009,1.00269,0,14.0912,0,0,2.0018,3.00695,0,685.457,0,5.47397,5.02235,13.7318,91.6863,12.8248,0,2.00538,10.1863,31.3407,1.00022,0,2.0194,20.0656,588.759
"1700027J19Rik",527,0,46,1,0,0,146.9997,1,0,3.0000027,181.9997,31,2.9999987,0,62,1,0,246,0,47.00005,20,45.99999,0,0,0,1,0,81,384,2,0,0,0,0,51,1,163.00027,10,74,0,0,1,0,0,1,220,0
"1700028J19Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700028K03Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700028P14Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700029F12Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,16,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,8,0,0,0
