"","V1"
"0610007P14Rik",60.9245679559757
"0610009B22Rik",34.4158130339098
"0610009L18Rik",3.48714663517567
"0610009O20Rik",65.5641129477865
"0610010F05Rik",2.45877541160431
"0610010K14Rik",55.819231068074
"0610030E20Rik",0.622456800189442
"0610037L13Rik",29.0609474221221
"0610040J01Rik",0
"1110002E22Rik",37.9238535687123
"1110004E09Rik",4.16119999787821
"1110004F10Rik",91.3832131175402
"1110008F13Rik",35.5651934745833
"1110008L16Rik",4.68898758105809
"1110008P14Rik",12.0275853958333
"1110012L19Rik",64.7929747480573
"1110017D15Rik",0.0145501985533694
"1110025L11Rik",0
"1110032A03Rik",9.23111267379191
"1110032F04Rik",2.74642459863615
"1110034G24Rik",6.37899184268873
"1110037F02Rik",155.066283716497
"1110038F14Rik",20.5669080517049
"1110051M20Rik",11.9426387632563
"1110057P08Rik",0
"1110059E24Rik",16.6811536188805
"1110059G10Rik",16.023493206052
"1110065P20Rik",60.8768995878282
"1190002N15Rik",9.70823710957644
"1190003K10Rik",0
"1190005I06Rik",0.172373035888742
"1190007I07Rik",13.275726726357
"1300017J02Rik",0.0363063232488215
"1500009C09Rik",0.0141326782993234
"1500009L16Rik",4.34252500161131
"1500011B03Rik",18.6156673783162
"1500011K16Rik",13.2838583963191
"1500015O10Rik",1.25763905649715
"1600002H07Rik",1.53752627778896
"1600002K03Rik",123.081352522814
"1600012H06Rik",12.6244697199303
"1600014C10Rik",4.46687073762483
"1600014C23Rik",0.314030220583168
"1600015I10Rik",0.0351465990705035
"1700001C02Rik",0
"1700001C19Rik",13.5385956294512
"1700001F09Rik",0
"1700001J03Rik",0
"1700001K19Rik",0.387149323057191
"1700001L19Rik",0.167513400199441
"1700001O22Rik",0.000978971127457893
"1700001P01Rik",0.516616484384575
"1700003E16Rik",0.00785997606722138
"1700003F12Rik",0
"1700003H04Rik",0
"1700006A11Rik",0
"1700006E09Rik",0.008426001264343
"1700007B14Rik",0
"1700007G11Rik",0
"1700007K09Rik",0.192388716734347
"1700007K13Rik",0
"1700008O03Rik",0.0329126054502276
"1700008P02Rik",0
"1700009N14Rik",0.0100674498635109
"1700010B08Rik",0.0171824799298535
"1700010I14Rik",0.312626508970908
"1700011H14Rik",0.224173771350293
"1700011I03Rik",0
"1700011L22Rik",0
"1700011M02Rik",0
"1700012A03Rik",0
"1700012B07Rik",0
"1700012B09Rik",0
"1700012P22Rik",0
"1700013D24Rik",0
"1700013F07Rik",0
"1700013G24Rik",0
"1700013H16Rik",0
"1700014D04Rik",0.00501114312843863
"1700015E13Rik",1.05704911431175
"1700015F17Rik",0
"1700015G11Rik",0
"1700016C15Rik",0.902120530526717
"1700016D06Rik",1.19726735331282
"1700016H13Rik",0
"1700016K19Rik",0
"1700017B05Rik",1.7719293463008
"1700017D01Rik",0
"1700017N19Rik",0.00305279517435055
"1700018B08Rik",0.150534627571232
"1700018C11Rik",0
"1700018F24Rik",0
"1700019A02Rik",0.107345366500648
"1700019B03Rik",0
"1700019D03Rik",0.0450631222526823
"1700019N19Rik",0
"1700019O17Rik",0
"1700020A23Rik",0
"1700020D05Rik",0
"1700020L24Rik",0
"1700020N01Rik",0
"1700020N15Rik",0
"1700021F05Rik",4.59097010631413
"1700021F07Rik",0
"1700022I11Rik",0.126239899859232
"1700023F06Rik",0
"1700024B05Rik",0
"1700024G13Rik",0
"1700024P04Rik",0
"1700024P16Rik",0.199221320046659
"1700025B11Rik",0
"1700025C18Rik",0
"1700025F22Rik",0
"1700025G04Rik",1.97808292014054
"1700027J19Rik",3.6561236438808
"1700028J19Rik",0.428142742025491
"1700028K03Rik",0.0201715941946048
"1700028P14Rik",0
"1700029F12Rik",0.062053506273283
"1700029H14Rik",0
"1700029I15Rik",0.071148716264227
"1700029J07Rik",0.438549206397796
